Distance (km),Loss (dB)
0.003678,43.357000
0.003683,43.356000
0.003689,43.355000
0.003694,43.354000
0.003699,43.354000
0.003704,43.352000
0.003709,43.350000
0.003714,43.346000
0.003719,43.344000
0.003724,43.342000
0.003729,43.340000
0.003734,43.339000
0.003740,43.338000
0.003745,43.336000
0.003750,43.335000
0.003755,43.334000
0.003760,43.333000
0.003765,43.331000
0.003770,43.330000
0.003775,43.328000
0.003780,43.327000
0.003785,43.325000
0.003790,43.324000
0.003796,43.323000
0.003801,43.321000
0.003806,43.320000
0.003811,43.318000
0.003816,43.316000
0.003821,43.314000
0.003826,43.313000
0.003831,43.311000
0.003836,43.308000
0.003841,43.307000
0.003846,43.304000
0.003852,43.303000
0.003857,43.301000
0.003862,43.300000
0.003867,43.298000
0.003872,43.298000
0.003877,43.296000
0.003882,43.295000
0.003887,43.293000
0.003892,43.291000
0.003897,43.288000
0.003903,43.286000
0.003908,43.284000
0.003913,43.282000
0.003918,43.280000
0.003923,43.279000
0.003928,43.278000
0.003933,43.276000
0.003938,43.275000
0.003943,43.274000
0.003948,43.272000
0.003953,43.270000
0.003959,43.269000
0.003964,43.267000
0.003969,43.266000
0.003974,43.265000
0.003979,43.265000
0.003984,43.264000
0.003989,43.263000
0.003994,43.262000
0.003999,43.261000
0.004004,43.259000
0.004010,43.257000
0.004015,43.256000
0.004020,43.254000
0.004025,43.253000
0.004030,43.251000
0.004035,43.249000
0.004040,43.248000
0.004045,43.246000
0.004050,43.244000
0.004055,43.242000
0.004060,43.240000
0.004066,43.237000
0.004071,43.235000
0.004076,43.233000
0.004081,43.231000
0.004086,43.229000
0.004091,43.228000
0.004096,43.226000
0.004101,43.224000
0.004106,43.222000
0.004111,43.220000
0.004117,43.218000
0.004122,43.216000
0.004127,43.215000
0.004132,43.213000
0.004137,43.212000
0.004142,43.210000
0.004147,43.209000
0.004152,43.207000
0.004157,43.206000
0.004162,43.204000
0.004167,43.202000
0.004173,43.201000
0.004178,43.198000
0.004183,43.197000
0.004188,43.194000
0.004193,43.192000
0.004198,43.190000
0.004203,43.188000
0.004208,43.186000
0.004213,43.184000
0.004218,43.182000
0.004224,43.180000
0.004229,43.179000
0.004234,43.177000
0.004239,43.175000
0.004244,43.174000
0.004249,43.172000
0.004254,43.170000
0.004259,43.168000
0.004264,43.165000
0.004269,43.162000
0.004274,43.160000
0.004280,43.158000
0.004285,43.156000
0.004290,43.154000
0.004295,43.153000
0.004300,43.150000
0.004305,43.148000
0.004310,43.147000
0.004315,43.146000
0.004320,43.144000
0.004325,43.143000
0.004330,43.141000
0.004336,43.139000
0.004341,43.138000
0.004346,43.136000
0.004351,43.134000
0.004356,43.133000
0.004361,43.131000
0.004366,43.129000
0.004371,43.127000
0.004376,43.126000
0.004381,43.124000
0.004387,43.122000
0.004392,43.121000
0.004397,43.119000
0.004402,43.117000
0.004407,43.116000
0.004412,43.114000
0.004417,43.113000
0.004422,43.111000
0.004427,43.109000
0.004432,43.107000
0.004437,43.105000
0.004443,43.104000
0.004448,43.102000
0.004453,43.101000
0.004458,43.099000
0.004463,43.098000
0.004468,43.096000
0.004473,43.094000
0.004478,43.092000
0.004483,43.090000
0.004488,43.088000
0.004494,43.085000
0.004499,43.083000
0.004504,43.081000
0.004509,43.080000
0.004514,43.079000
0.004519,43.077000
0.004524,43.074000
0.004529,43.072000
0.004534,43.070000
0.004539,43.068000
0.004544,43.066000
0.004550,43.065000
0.004555,43.063000
0.004560,43.062000
0.004565,43.060000
0.004570,43.058000
0.004575,43.056000
0.004580,43.054000
0.004585,43.052000
0.004590,43.049000
0.004595,43.047000
0.004601,43.045000
0.004606,43.044000
0.004611,43.043000
0.004616,43.041000
0.004621,43.039000
0.004626,43.037000
0.004631,43.035000
0.004636,43.034000
0.004641,43.032000
0.004646,43.030000
0.004651,43.029000
0.004657,43.026000
0.004662,43.024000
0.004667,43.022000
0.004672,43.020000
0.004677,43.019000
0.004682,43.018000
0.004687,43.016000
0.004692,43.015000
0.004697,43.014000
0.004702,43.013000
0.004707,43.011000
0.004713,43.009000
0.004718,43.008000
0.004723,43.006000
0.004728,43.004000
0.004733,43.003000
0.004738,43.001000
0.004743,42.999000
0.004748,42.996000
0.004753,42.994000
0.004758,42.992000
0.004764,42.990000
